team,player,bat_or_bowl,bb_bf,runs,wkts,wicketball_prob,runs_per_ball,opposition,ground,start_date,overs,mdns,econ,inns,4s,6s,sr,not_out,mins
SA,G Coetzee (SA),bowl,24,35,3.0,0.125,1.458333333,v England,Wankhede,2023-10-21,4.0,0.0,8.75,2,,,,,
SL,CBRLS Kumara (SL),bowl,42,35,3.0,0.071428571,0.833333333,v England,Bengaluru,2023-10-26,7.0,0.0,5.0,1,,,,,
AFG,Rashid Khan (AFG),bowl,57,37,3.0,0.052631579,0.649122807,v England,Delhi,2023-10-15,9.3,1.0,3.89,2,,,,,
NZ,GD Phillips (NZ),bowl,60,37,3.0,0.05,0.616666667,v Australia,Dharamsala,2023-10-28,10.0,0.0,3.7,1,,,,,
NZ,TA Boult (NZ),bowl,60,37,3.0,0.05,0.616666667,v Sri Lanka,Bengaluru,2023-11-09,10.0,3.0,3.7,1,,,,,
AUS,JR Hazlewood (AUS),bowl,54,38,3.0,0.055555556,0.703703704,v India,Chennai,2023-10-08,9.0,1.0,4.22,2,,,,,
SL,D Madushanka (SL),bowl,54,38,3.0,0.055555556,0.703703704,v Australia,Lucknow,2023-10-16,9.0,2.0,4.22,2,,,,,
NZ,MJ Santner (NZ),bowl,46,39,3.0,0.065217391,0.847826087,v Afghanistan,Chennai,2023-10-18,7.4,0.0,5.08,2,,,,,
NZ,MJ Henry (NZ),bowl,51,40,3.0,0.058823529,0.784313725,v Netherlands,Hyderabad,2023-10-09,8.3,0.0,4.7,2,,,,,
ENG,AU Rashid (ENG),bowl,60,42,3.0,0.05,0.7,v Afghanistan,Delhi,2023-10-15,10.0,1.0,4.2,1,,,,,
ENG,MM Ali (ENG),bowl,50,42,3.0,0.06,0.84,v Netherlands,Pune,2023-11-08,8.2,0.0,5.04,2,,,,,
PAK,Haris Rauf (PAK),bowl,54,43,3.0,0.055555556,0.796296296,v Netherlands,Hyderabad,2023-10-06,9.0,0.0,4.77,2,,,,,
SA,M Jansen (SA),bowl,54,43,3.0,0.055555556,0.796296296,v Pakistan,Chennai,2023-10-27,9.0,1.0,4.77,1,,,,,
NED,A Dutt (NED),bowl,60,44,3.0,0.05,0.733333333,v Sri Lanka,Lucknow,2023-10-21,10.0,0.0,4.4,2,,,,,
ENG,AU Rashid (ENG),bowl,60,35,2.0,0.033333333,0.583333333,v India,Lucknow,2023-10-29,10.0,0.0,3.5,1,,,,,
SL,AD Mathews (SL),bowl,43,35,2.0,0.046511628,0.813953488,v Bangladesh,Delhi,2023-11-06,7.1,1.0,4.88,2,,,,,
NZ,LH Ferguson (NZ),bowl,60,35,2.0,0.033333333,0.583333333,v Sri Lanka,Bengaluru,2023-11-09,10.0,2.0,3.5,1,,,,,
AFG,Mohammad Nabi (AFG),bowl,60,35,2.0,0.033333333,0.583333333,v South Africa,Ahmedabad,2023-11-10,10.0,1.0,3.5,2,,,,,
PAK,Shaheen Shah Afridi (PAK),bowl,36,36,2.0,0.055555556,1.0,v India,Ahmedabad,2023-10-14,6.0,0.0,6.0,2,,,,,
NED,BFW de Leede (NED),bowl,48,36,2.0,0.041666667,0.75,v South Africa,Dharamsala,2023-10-17,8.0,0.0,4.5,2,,,,,
SL,CAK Rajitha (SL),bowl,42,36,2.0,0.047619048,0.857142857,v England,Bengaluru,2023-10-26,7.0,0.0,5.14,1,,,,,
BAN,Mustafizur Rahman (BAN),bowl,60,36,2.0,0.033333333,0.6,v Netherlands,Eden Gardens,2023-10-28,10.0,1.0,3.6,1,,,,,
PAK,Haris Rauf (PAK),bowl,48,36,2.0,0.041666667,0.75,v Bangladesh,Eden Gardens,2023-10-31,8.0,0.0,4.5,1,,,,,
NZ,MJ Santner (NZ),bowl,60,37,2.0,0.033333333,0.616666667,v England,Ahmedabad,2023-10-05,10.0,0.0,3.7,1,,,,,
AFG,Rashid Khan (AFG),bowl,60,37,2.0,0.033333333,0.616666667,v South Africa,Ahmedabad,2023-11-10,10.0,1.0,3.7,2,,,,,
SA,T Shamsi (SA),bowl,47,38,2.0,0.042553191,0.808510638,v Australia,Lucknow,2023-10-12,7.5,0.0,4.85,2,,,,,
IND,RA Jadeja (IND),bowl,59,38,2.0,0.033898305,0.644067797,v Pakistan,Ahmedabad,2023-10-14,9.5,0.0,3.86,1,,,,,
IND,RA Jadeja (IND),bowl,60,38,2.0,0.033333333,0.633333333,v Bangladesh,Pune,2023-10-19,10.0,0.0,3.8,1,,,,,
AFG,Mujeeb Ur Rahman (AFG),bowl,60,38,2.0,0.033333333,0.633333333,v Sri Lanka,Pune,2023-10-30,10.0,0.0,3.8,1,,,,,
ENG,AU Rashid (ENG),bowl,60,38,2.0,0.033333333,0.633333333,v Australia,Ahmedabad,2023-11-04,10.0,0.0,3.8,1,,,,,
NED,CN Ackermann (NED),bowl,48,39,2.0,0.041666667,0.8125,v Pakistan,Hyderabad,2023-10-06,8.0,1.0,4.87,1,,,,,
SA,M Jansen (SA),bowl,48,39,2.0,0.041666667,0.8125,v Bangladesh,Wankhede,2023-10-24,8.0,0.0,4.87,2,,,,,
AUS,JR Hazlewood (AUS),bowl,54,39,2.0,0.037037037,0.722222222,v Afghanistan,Wankhede,2023-11-07,9.0,0.0,4.33,1,,,,,
NED,PA van Meekeren (NED),bowl,54,40,2.0,0.037037037,0.740740741,v South Africa,Dharamsala,2023-10-17,9.0,0.0,4.44,2,,,,,
AUS,MP Stoinis (AUS),bowl,30,40,2.0,0.066666667,1.333333333,v Pakistan,Bengaluru,2023-10-20,5.0,0.0,8.0,2,,,,,
BAN,Mahedi Hasan (BAN),bowl,42,40,2.0,0.047619048,0.952380952,v Netherlands,Eden Gardens,2023-10-28,7.0,0.0,5.71,1,,,,,
IND,JJ Bumrah (IND),bowl,60,41,2.0,0.033333333,0.683333333,v Bangladesh,Pune,2023-10-19,10.0,1.0,4.1,1,,,,,
SA,G Coetzee (SA),bowl,39,41,2.0,0.051282051,1.051282051,v New Zealand,Pune,2023-11-01,6.3,0.0,6.3,2,,,,,
IND,Kuldeep Yadav (IND),bowl,60,42,2.0,0.033333333,0.7,v Australia,Chennai,2023-10-08,10.0,0.0,4.2,1,,,,,
SA,K Rabada (SA),bowl,60,42,2.0,0.033333333,0.7,v Bangladesh,Wankhede,2023-10-24,10.0,1.0,4.2,2,,,,,
SA,G Coetzee (SA),bowl,42,42,2.0,0.047619048,1.0,v Pakistan,Chennai,2023-10-27,7.0,0.0,6.0,1,,,,,
IND,HH Pandya (IND),bowl,42,43,2.0,0.047619048,1.023809524,v Afghanistan,Delhi,2023-10-11,7.0,0.0,6.14,1,,,,,
AUS,MA Starc (AUS),bowl,60,43,2.0,0.033333333,0.716666667,v Sri Lanka,Lucknow,2023-10-16,10.0,0.0,4.3,1,,,,,
BAN,Taskin Ahmed (BAN),bowl,54,43,2.0,0.037037037,0.796296296,v Netherlands,Eden Gardens,2023-10-28,9.0,1.0,4.77,1,,,,,
SL,M Theekshana (SL),bowl,54,44,2.0,0.037037037,0.814814815,v Bangladesh,Delhi,2023-11-06,9.0,0.0,4.88,2,,,,,
AFG,Rashid Khan (AFG),bowl,60,44,2.0,0.033333333,0.733333333,v Australia,Wankhede,2023-11-07,10.0,0.0,4.4,2,,,,,
NZ,TA Boult (NZ),bowl,60,45,2.0,0.033333333,0.75,v Bangladesh,Chennai,2023-10-13,10.0,0.0,4.5,1,,,,,
PAK,Usama Mir (PAK),bowl,48,45,2.0,0.041666667,0.9375,v South Africa,Chennai,2023-10-27,8.0,0.0,5.62,2,,,,,
BAN,Mehidy Hasan Miraz (BAN),bowl,60,47,2.0,0.033333333,0.783333333,v India,Pune,2023-10-19,10.0,0.0,4.7,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,54,47,2.0,0.037037037,0.87037037,v Australia,Wankhede,2023-11-07,9.0,0.0,5.22,2,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,48,48,2.0,0.041666667,1.0,v New Zealand,Chennai,2023-10-18,8.0,0.0,6.0,1,,,,,
SL,D Madushanka (SL),bowl,54,48,2.0,0.037037037,0.888888889,v Afghanistan,Pune,2023-10-30,9.0,0.0,5.33,2,,,,,
ENG,CR Woakes (ENG),bowl,48,49,2.0,0.041666667,1.020833333,v Bangladesh,Dharamsala,2023-10-10,8.0,0.0,6.12,2,,,,,
AUS,JR Hazlewood (AUS),bowl,55,49,2.0,0.036363636,0.890909091,v England,Ahmedabad,2023-11-04,9.1,1.0,5.34,2,,,,,
AUS,PJ Cummins (AUS),bowl,60,49,2.0,0.033333333,0.816666667,v England,Ahmedabad,2023-11-04,10.0,1.0,4.9,2,,,,,
SA,K Rabada (SA),bowl,47,50,2.0,0.042553191,1.063829787,v Sri Lanka,Delhi,2023-10-07,7.5,0.0,6.38,2,,,,,
IND,Mohammed Siraj (IND),bowl,48,50,2.0,0.041666667,1.041666667,v Pakistan,Ahmedabad,2023-10-14,8.0,0.0,6.25,1,,,,,
ENG,MA Wood (ENG),bowl,54,50,2.0,0.037037037,0.925925926,v Afghanistan,Delhi,2023-10-15,9.0,0.0,5.55,1,,,,,
PAK,Mohammad Wasim (1) (PAK),bowl,60,50,2.0,0.033333333,0.833333333,v South Africa,Chennai,2023-10-27,10.0,1.0,5.0,2,,,,,
BAN,Shoriful Islam (BAN),bowl,60,51,2.0,0.033333333,0.85,v Netherlands,Eden Gardens,2023-10-28,10.0,0.0,5.1,1,,,,,
BAN,Shoriful Islam (BAN),bowl,57,51,2.0,0.035087719,0.894736842,v Sri Lanka,Delhi,2023-11-06,9.3,0.0,5.36,1,,,,,
AFG,Naveen-ul-Haq (AFG),bowl,42,52,2.0,0.047619048,1.238095238,v Pakistan,Chennai,2023-10-23,7.0,0.0,7.42,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,42,52,2.0,0.047619048,1.238095238,v Australia,Wankhede,2023-11-07,7.0,1.0,7.42,2,,,,,
AUS,MA Starc (AUS),bowl,54,53,2.0,0.037037037,0.981481481,v South Africa,Lucknow,2023-10-12,9.0,1.0,5.88,1,,,,,
SA,M Jansen (SA),bowl,42,54,2.0,0.047619048,1.285714286,v Australia,Lucknow,2023-10-12,7.0,0.0,7.71,2,,,,,
NED,RE van der Merwe (NED),bowl,54,56,2.0,0.037037037,1.037037037,v New Zealand,Hyderabad,2023-10-09,9.0,0.0,6.22,1,,,,,
SA,K Rabada (SA),bowl,54,56,2.0,0.037037037,1.037037037,v Netherlands,Dharamsala,2023-10-17,9.0,1.0,6.22,1,,,,,
AFG,Azmatullah Omarzai (AFG),bowl,42,56,2.0,0.047619048,1.333333333,v New Zealand,Chennai,2023-10-18,7.0,0.0,8.0,1,,,,,
SA,LB Williams (SA),bowl,52,56,2.0,0.038461538,1.076923077,v Bangladesh,Wankhede,2023-10-24,8.4,1.0,6.46,2,,,,,
AFG,Rashid Khan (AFG),bowl,48,57,2.0,0.041666667,1.1875,v India,Delhi,2023-10-11,8.0,0.0,7.12,2,,,,,
SA,L Ngidi (SA),bowl,54,57,2.0,0.037037037,1.055555556,v Netherlands,Dharamsala,2023-10-17,9.0,1.0,6.33,1,,,,,
BAN,Shakib Al Hasan (BAN),bowl,60,57,2.0,0.033333333,0.95,v Sri Lanka,Delhi,2023-11-06,10.0,0.0,5.7,1,,,,,
NZ,MJ Henry (NZ),bowl,60,58,2.0,0.033333333,0.966666667,v Bangladesh,Chennai,2023-10-13,10.0,0.0,5.8,1,,,,,
NED,PA van Meekeren (NED),bowl,54,59,2.0,0.037037037,1.092592593,v New Zealand,Hyderabad,2023-10-09,9.0,0.0,6.55,1,,,,,
SL,D Madushanka (SL),bowl,56,60,2.0,0.035714286,1.071428571,v Pakistan,Hyderabad,2023-10-10,9.2,0.0,6.42,2,,,,,
IND,Mohammed Siraj (IND),bowl,60,60,2.0,0.033333333,1.0,v Bangladesh,Pune,2023-10-19,10.0,0.0,6.0,1,,,,,
ENG,AAP Atkinson (ENG),bowl,54,60,2.0,0.037037037,1.111111111,v South Africa,Wankhede,2023-10-21,9.0,0.0,6.66,1,,,,,
ENG,AU Rashid (ENG),bowl,60,61,2.0,0.033333333,1.016666667,v South Africa,Wankhede,2023-10-21,10.0,0.0,6.1,1,,,,,
SA,KA Maharaj (SA),bowl,60,62,2.0,0.033333333,1.033333333,v Sri Lanka,Delhi,2023-10-07,10.0,0.0,6.2,2,,,,,
NED,A Dutt (NED),bowl,60,62,2.0,0.033333333,1.033333333,v New Zealand,Hyderabad,2023-10-09,10.0,2.0,6.2,1,,,,,
